Year_Month,Shipping_Volume
200301,221366
200302,217185
200303,293518
200304,311359.2069
200305,327715
200306,405015.4708
200307,399664
200308,379323.0848
200309,315034
200310,300526
200311,308723.2258
200312,455253.2343
200401,192657
200402,219509.4629
200403,292371.7353
200404,330014
200405,288358
200406,392560
200407,441625
200408,360507
200409,294465
200410,279766
200411,303560
200412,473865
200501,159247
200502,192607
200503,272103
200504,305661
200505,270932
200506,376239
200507,369591
200508,368049
200509,289006
200510,285164
200511,273431
200512,398553
200601,171491
200602,210660
200603,277786
200604,268916
200605,285797
200606,367139
200607,346208
200608,365050
200609,264166
200610,256474
200611,282302
200612,392075
200701,170749
200702,200282
200703,285189
200704,276246
200705,274085
200706,333114
200707,354895
200708,364476
200709,255369
200710,257161
200711,279020
200712,408701
200801,180887
200802,239892
200803,203115
200804,244840
200805,258884
200806,295232
200807,366447
200808,310897
200809,243983
200810,250254
200811,245418
200812,391148
200901,140724
200902,184347
200903,227862
200904,255555
200905,240508
200906,296246
200907,313928
200908,286661
200909,229596
200910,234370
200911,228980
200912,379610
201001,124156
201002,170123
201003,222106
201004,244367
201005,217940
201006,295091
201007,311450
201008,286868
201009,228512
201010,219221
201011,235422
201012,356220
201101,138168
201102,165907
201103,210099
201104,257120
201105,176762
201106,262533
201107,318075
201108,268800
201109,213375
201110,209005
201111,245202
201112,324475
201201,131626
201202,160334
201203,236607
201204,219105
201205,211205
201206,277907
201207,286227
201208,278318
201209,207454
201210,225143
201211,234609
201212,315598
201301,128652
201302,167260
201303,202210
201304,228034
201305,223515
201306,262653
201307,301986
201308,261556
201309,197299
201310,221757
201311,221757
201312,315592
