Date,Open,High,Low,Close
2013/10/7,14057.79,14447.87,13748.94,14404.74
2013/10/15,14510.27,14664.22,14415.76,14561.54
2013/10/21,14624.03,14799.28,14088.19,14088.19
2013/10/28,14261.65,14526.88,14126.41,14201.57
2013/11/5,14319.75,14407.69,14026.17,14086.8
2013/11/11,14271.48,15203.11,14208.13,15165.92
2013/11/18,15253.24,15579.39,15020.33,15381.72
2013/11/25,15504.78,15729.09,15414.52,15661.87
2013/12/2,15659.74,15794.15,15112.54,15299.86
2013/12/9,15556.6,15650.21,15251.45,15403.11
2013/12/16,15408.35,15891.82,15146.13,15870.42
2013/12/24,15955.9,16232.69,15849,16178.94
2013/12/30,16269.22,16320.22,16182.71,16291.31
2014/1/6,16147.54,16164.01,15754.7,15912.06
2014/1/14,15657.2,15941.08,15383.69,15734.46
2014/1/20,15724.14,15958.58,15288.32,15391.56
2014/1/27,15091.45,15383.91,14764.57,14914.53
2014/2/3,14788.56,14846.93,13995.86,14462.41
2014/2/10,14647.83,14874.79,14243.17,14313.03
2014/2/17,14343.73,14900.24,14214.6,14865.67
2014/2/24,14803.64,15094.54,14658.14,14841.07
2014/3/3,14666.93,15312.6,14443.1,15274.07
2014/3/10,15197.53,15266.12,14280.75,14327.66
2014/3/17,14254.32,14663.54,14203.21,14224.23
2014/3/24,14297.58,14713.45,14227.81,14696.03
2014/3/31,14839.54,15164.39,14718.01,15063.77
2014/4/7,14880.82,14895.58,13885.11,13960.05
2014/4/14,13887.23,14536.67,13885.22,14516.27
2014/4/21,14549.45,14649.5,14327.6,14429.26
2014/4/28,14289.82,14493.03,14224.47,14457.51
2014/5/7,14296.25,14299.13,14033.45,14199.59
2014/5/12,14173.49,14464.01,14016.49,14096.59
2014/5/19,14130.09,14528.04,13964.43,14462.17
2014/5/26,14592.6,14744.16,14531.32,14632.38
2014/6/2,14777.51,15144.34,14777.51,15077.24
2014/6/9,15204.31,15206.57,14830.99,15097.84
2014/6/16,15049.61,15422.06,14867.15,15349.42
2014/6/23,15419.47,15442.67,15027.31,15095
2014/6/30,15159.45,15490.37,15052.34,15437.13
2014/7/7,15433.49,15477.77,15101.49,15164.04
2014/7/14,15199.18,15465.74,15110.45,15215.71
2014/7/22,15296.42,15457.87,15232.14,15457.87
2014/7/28,15426.98,15759.66,15426.98,15523.11
2014/8/4,15474.65,15535.62,14753.84,14778.37
2014/8/11,15022.64,15338.85,14973.71,15318.34
2014/8/18,15318.5,15628.78,15303.39,15539.19
2014/8/25,15609.43,15628.61,15356,15424.59
2014/9/1,15454.59,15829.38,15440.99,15668.68
2014/9/8,15718.13,15984.9,15656.4,15948.29
2014/9/16,15896.06,16364.08,15871.12,16321.17
2014/9/22,16281.36,16374.14,16087.95,16229.86
2014/9/29,16339.03,16344.32,15559.07,15708.65
2014/10/6,15882.28,15970.65,15221.83,15300.55
2014/10/14,15036.87,15089.9,14529.03,14532.51
2014/10/20,14822.84,15377.05,14761.84,15291.64
2014/10/27,15404.28,16533.91,15263.36,16413.76
2014/11/4,16732.85,17127.66,16720.99,16880.38
2014/11/10,16758.27,17520.54,16713.37,17490.83
2014/11/17,17381.38,17472.57,16907.43,17357.51
2014/11/25,17490.39,17490.39,17212.48,17459.85
2014/12/1,17475.1,17922.29,17474.27,17920.45
2014/12/8,18004.66,18030.83,17043.63,17371.58
2014/12/15,17111.49,17621.4,16672.94,17621.4
2014/12/22,17685.53,17875.41,17572.62,17818.96
2014/12/29,17914.55,17914.55,17450.77,17450.77
2015/1/5,17325.68,17540.92,16808.26,17197.73
2015/1/13,16970.88,17141.98,16592.57,16864.16
2015/1/19,17000.78,17532.06,16911.58,17511.75
2015/1/26,17285.71,17850.59,17285.71,17674.39
2015/2/2,17536.61,17743.11,17271.87,17648.5
2015/2/9,17790.31,18005.45,17550.03,17913.36
2015/2/16,18024.01,18360.92,17901.26,18332.3
2015/2/23,18499.58,18865.39,18402.02,18797.94
2015/3/2,18869.4,18979.64,18586.84,18971
2015/3/9,18872.96,19335.8,18577.06,19254.25
2015/3/16,19245.38,19565.44,19226.71,19560.22
2015/3/23,19607.98,19778.6,19099.87,19285.63
2015/3/30,19295.21,19607.25,18927.95,19435.08
2015/4/6,19295.03,20006,19241.29,19907.63
2015/4/13,19967.38,19975.66,19638.37,19652.88
2015/4/20,19501,20252.12,19474.23,20020.04
2015/4/27,20063.8,20133.78,19399.16,19531.63
2015/5/7,19356.46,19461.08,19257.85,19379.19
2015/5/11,19637.58,19791.88,19467.65,19732.92
2015/5/18,19766.16,20320.9,19741.22,20264.41
2015/5/25,20331.92,20655.33,20318.54,20563.15
2015/6/1,20444.54,20619.61,20363.18,20460.9
2015/6/8,20537.85,20544.94,20016.32,20407.08
2015/6/15,20205.1,20401.48,19990.55,20174.24
2015/6/22,20174.14,20952.71,20174.14,20706.15
2015/6/29,20305.97,20601.73,20093.16,20539.79
2015/7/6,20200.15,20428,19115.2,19779.83
2015/7/13,19929.92,20658.95,19911.39,20650.92
2015/7/21,20763.31,20850,20527.78,20544.53
2015/7/27,20374.05,20585.24,20070.62,20585.24
2015/8/3,20540.21,20817.48,20396.5,20724.56
2015/8/10,20618.31,20946.93,20303.02,20519.45
2015/8/17,20600.16,20668.87,19435.83,19435.83
2015/8/24,19075.05,19192.82,17714.3,19136.32
2015/8/31,19006.98,19019.61,17608.17,17792.16
2015/9/7,17674.82,18770.51,17415.61,18264.22
2015/9/14,18341.01,18468.2,17925.09,18070.21
2015/9/24,17803.41,17880.51,17483.69,17880.51
2015/9/28,17811.12,17886.49,16901.49,17725.13
2015/10/5,17921,18438.67,17869.74,18438.67
2015/10/13,18335.15,18397.52,17758.12,18291.8
2015/10/19,18282.78,18915.64,18078.43,18825.3
2015/10/26,19036.13,19202.34,18760.79,19083.1
2015/11/2,18827.11,19294.15,18641.22,19265.6
2015/11/9,19411.51,19725.83,19388.91,19596.91
2015/11/16,19263.96,19959.06,19252.04,19879.81
2015/11/24,19875.99,19994.05,19786.53,19883.94
2015/11/30,19857.38,20012.4,19444.54,19504.48
2015/12/7,19710.39,19811.51,19020.75,19230.48
2015/12/14,18887.09,19869.08,18562.51,18986.8
2015/12/21,18845.5,19071.41,18651.13,18769.06
2015/12/28,18838.91,19113.18,18764.54,19033.71
2016/1/4,18818.58,18951.12,17509.64,17697.96
2016/1/12,17470.93,17717.75,16944.41,17147.11
2016/1/18,16826.93,17088.31,16017.26,16958.53
2016/1/25,17145.81,17638.93,16652.26,17518.3
2016/2/1,17699.6,17905.37,16627.8,16819.59
2016/2/8,16620.91,17099.01,14865.77,14952.61
2016/2/15,15248.38,16341.56,15243.88,15967.17
2016/2/22,15851.39,16472.5,15753.77,16188.41
2016/2/29,16313.31,17042.92,15857.37,17014.78
2016/3/7,17024.64,17026.25,16494.8,16938.87
2016/3/14,17155.52,17291.35,16613.69,16724.81
2016/3/22,16937.31,17142.08,16843.99,17002.75
2016/3/28,17129.27,17167.88,16113.01,16164.16
2016/4/4,16087.76,16238.51,15471.8,15821.52
2016/4/11,15761.57,16928.67,15525.49,16848.03
2016/4/18,16521.25,17572.49,16254.2,17572.49
2016/4/25,17613.56,17613.56,16652.74,16666.05
2016/5/2,16357.1,16357.1,15975.47,16106.72
2016/5/9,16226.57,16814.64,16159.31,16412.21
2016/5/16,16391.92,16841.04,16391.92,16736.35
2016/5/23,16671.28,16957.56,16417.84,16834.84
2016/5/30,16973.72,17251.36,16525.47,16642.23
2016/6/6,16373.32,16830.92,16322.64,16601.36
2016/6/13,16319.11,16335.38,15395.98,15599.66
2016/6/20,15839.06,16389.17,14864.01,14952.02
2016/6/27,15153.08,15781.69,14987.79,15682.48
2016/7/4,15554.04,15805.31,15106.52,15106.98
2016/7/11,15375.94,16607.32,15375.94,16497.85
2016/7/19,16612.09,16938.96,16514.66,16627.25
2016/7/25,16655.81,16821.43,16174.35,16569.27
2016/8/1,16415.31,16677.49,15921.04,16254.45
2016/8/8,16462.29,16943.67,16455.57,16919.92
2016/8/15,16866.89,16932.11,16452.62,16545.82
2016/8/22,16599.26,16663.64,16320.43,16360.71
2016/8/29,16631.06,16946.49,16616.65,16925.68
2016/9/5,17131.52,17156.36,16836.65,16965.76
2016/9/12,16748.36,16802,16359.78,16519.29
2016/9/20,16403.22,16823.63,16399.65,16754.02
2016/9/26,16707.45,16756.43,16285.41,16449.84
2016/10/3,16566.03,16971.28,16554.83,16860.09
2016/10/11,16936.31,17074.46,16727.78,16856.37
2016/10/17,16871.84,17288.89,16821.49,17184.59
2016/10/24,17216.56,17461.03,17162.21,17446.41
