Date,Open,High,Low,Close
2013/10/7,10920,11550,10670,11420
2013/10/15,11430,11780,11180,11470
2013/10/21,11520,11880,11250,11280
2013/10/28,11410,11590,10830,11060
2013/11/5,11150,12200,11120,12150
2013/11/11,12120,13180,12010,13070
2013/11/18,13000,13550,12850,13540
2013/11/25,13630,14070,12830,13130
2013/12/2,13150,13270,12470,12630
2013/12/9,12770,12930,12470,12580
2013/12/16,12590,13900,12520,13780
2013/12/24,13850,14120,13660,14020
2013/12/30,14000,14220,13980,14010
2014/1/6,14000,16150,13920,16080
2014/1/14,15410,15880,14575,14645
2014/1/20,11945,14440,11935,13560
2014/1/27,13350,13850,11950,12150
2014/2/3,11985,12395,11215,11490
2014/2/10,11565,12385,11445,11770
2014/2/17,11675,12680,11625,12580
2014/2/24,12450,13185,12365,12555
2014/3/3,12355,12875,12160,12625
2014/3/10,12535,12565,11875,11910
2014/3/17,11820,11985,11535,11550
2014/3/24,11560,12435,11360,11995
2014/3/31,12120,12350,11870,11930
2014/4/7,11835,11980,11070,11120
2014/4/14,11015,11370,10800,11145
2014/4/21,11185,11340,10610,10755
2014/4/28,10755,11180,10625,10970
2014/5/7,10830,10930,10070,10805
2014/5/12,10675,11270,10655,10980
2014/5/19,10900,11865,10800,11590
2014/5/26,11710,11940,11630,11770
2014/6/2,11775,12000,11690,11780
2014/6/9,11880,12330,11380,11730
2014/6/16,11820,12525,11710,12515
2014/6/23,12595,12595,11925,12045
2014/6/30,12045,13000,12020,12805
2014/7/7,12800,12950,12170,12255
2014/7/14,12260,12745,12245,12495
2014/7/22,12660,13095,12505,12730
2014/7/28,12650,12715,11305,11350
2014/8/4,11400,11410,10790,10835
2014/8/11,10990,11375,10865,11290
2014/8/18,11415,12125,11395,11615
2014/8/25,11650,11725,11375,11530
2014/9/1,11685,12165,11615,11940
2014/9/8,11825,12080,11610,11920
2014/9/16,11930,12280,11925,12165
2014/9/22,12200,12470,11925,12030
2014/9/29,12085,12140,11305,11420
2014/10/6,11600,11780,11090,11185
2014/10/14,11065,11185,10530,10695
2014/10/20,10875,11270,10840,10935
2014/10/27,11070,11995,11040,11910
2014/11/4,12560,12560,12125,12165
2014/11/10,12090,12880,11990,12875
2014/11/17,12905,13320,12540,12970
2014/11/25,13130,13775,13065,13760
2014/12/1,13850,14460,13755,14185
2014/12/8,14210,14210,13115,13210
2014/12/15,13090,13240,12345,12640
2014/12/22,12750,12935,12525,12835
2014/12/29,12835,12875,12585,12605
2015/1/5,12515,12845,11765,12205
2015/1/13,12050,12270,11705,11930
2015/1/19,12190,12255,11950,12020
2015/1/26,11850,12410,11140,11430
2015/2/2,11350,11825,11150,11770
2015/2/9,11915,11975,11630,11740
2015/2/16,11800,12155,11645,12095
2015/2/23,12150,12920,12015,12780
2015/3/2,12850,13910,12850,13835
2015/3/9,13680,13930,13215,13700
2015/3/16,13720,20785,13710,17845
2015/3/23,18000,18800,17775,18205
2015/3/30,18000,18245,17455,18245
2015/4/6,18155,19290,18100,18910
2015/4/13,18940,20720,18840,20370
2015/4/20,20200,21055,19850,20750
2015/4/27,20550,20940,20005,20255
2015/5/7,19755,21610,19550,21155
2015/5/11,21015,23180,20425,22770
2015/5/18,22800,22850,20920,21330
2015/5/25,21450,21785,20570,21120
2015/6/1,20900,21810,20645,20880
2015/6/8,21065,21080,19835,20505
2015/6/15,20290,20650,19515,19735
2015/6/22,19905,21935,19795,21780
2015/6/29,20985,21485,20330,20895
2015/7/6,20400,20675,19205,19515
2015/7/13,20110,21545,19320,21300
2015/7/21,21100,22100,21050,21755
2015/7/27,21400,22450,20490,21810
2015/8/3,21770,23435,21705,23275
2015/8/10,23315,26050,23220,24025
2015/8/17,24360,25695,23580,23720
2015/8/24,22690,24685,21070,24170
2015/8/31,24325,25250,22950,23175
2015/9/7,22700,23705,22320,23070
2015/9/14,23250,23335,20905,21055
2015/9/24,20600,20875,20065,20510
2015/9/28,20510,21025,19180,20925
2015/10/5,21205,21970,20720,21380
2015/10/13,21390,23145,21290,22845
2015/10/19,23175,23850,22815,23615
2015/10/26,23920,24360,19010,19480
2015/11/2,19305,20130,18935,20025
2015/11/9,20350,20825,19835,20185
2015/11/16,19685,19700,19030,19365
2015/11/24,19300,19865,19160,19230
2015/11/30,19190,19535,18905,18980
2015/12/7,19000,19115,17900,18035
2015/12/14,17515,17685,16755,16775
2015/12/21,16500,16595,16075,16220
2015/12/28,16340,17160,16315,16755
2016/1/4,16550,17180,15030,15370
2016/1/12,14970,15620,14455,14870
2016/1/18,14270,15990,14260,15935
2016/1/25,16335,16870,15530,16655
2016/2/1,17200,18000,16430,17040
2016/2/8,16650,17450,14000,14350
2016/2/15,15350,16690,15110,16030
2016/2/22,16200,16770,15675,15970
2016/2/29,15245,16710,15060,16665
2016/3/7,16745,16750,15430,16115
2016/3/14,16090,16150,15110,15265
2016/3/22,15660,17090,15585,16815
2016/3/28,16840,17075,15335,15395
2016/4/4,15260,16000,14825,15795
2016/4/11,15790,17150,15450,16905
2016/4/18,16100,17545,16100,17140
2016/4/25,17230,17250,15040,15155
2016/5/2,14675,15205,14675,14990
2016/5/9,15155,15735,14910,15350
2016/5/16,15540,16490,15450,16365
2016/5/23,16325,16335,15755,15860
2016/5/30,16025,16550,15575,15820
2016/6/6,15450,16435,15335,16065
2016/6/13,15805,15840,14555,14685
2016/6/20,14970,15195,13605,13800
2016/6/27,14000,14975,13360,14660
2016/7/4,14620,16670,13835,16270
2016/7/11,18595,27800,18390,27780
2016/7/19,31350,32700,26000,28220
2016/7/25,23720,24555,20440,21505
2016/8/1,20585,21520,20100,20715
2016/8/8,20715,23360,20460,22000
2016/8/15,21950,23325,21665,22200
2016/8/22,22400,23045,21670,21690
2016/8/29,22090,24180,22020,23820
2016/9/5,24050,29200,23160,27625
2016/9/12,27300,27570,25375,27065
2016/9/20,26650,27775,26470,27105
2016/9/26,26945,27480,26400,26605
2016/10/3,26800,26940,25930,26690
2016/10/11,26500,26615,25620,26170
2016/10/17,26470,27270,25025,25185
2016/10/24,24900,25625,23515,25590
